input_text,target_text,success,semSR,,
partially eaten cake on a white plate in a restaurant.,completely eaten cake on a white plate in a restaurant.,0,16.01686175,,
partially eaten cake on a white plate in a restaurant.,delicious eaten cake on a white plate in a restaurant.,0,0.448994528,,
partially eaten cake on a white plate in a restaurant.,fairly eaten cake on a white plate in a restaurant.,0,3.948441037,,
partially eaten cake on a white plate in a restaurant.,nearly eaten cake on a white plate in a restaurant.,0,3.340180763,,
partially eaten cake on a white plate in a restaurant.,never eaten cake on a white plate in a restaurant.,0,-2.98226541,,
pizza with five large red peppers evenly spaced.,pizza with five large red peppers closely spaced.,0,1.75378692,,
pizza with five large red peppers evenly spaced.,pizza with five large red peppers neatly spaced.,0,-14.07270693,,
pizza with five large red peppers evenly spaced.,pizza with five large red peppers randomly spaced.,0,2.94178346,,alea shoots blender towns contracepsupercharged nightout dogrescue polyvore bouquet
pizza with five large red peppers evenly spaced.,pizza with five large red peppers well spaced.,0,2.116766816,,
pizza with five large red peppers evenly spaced.,pizza with five large red peppers widely spaced.,0,4.616110678,,
pretty cat hiding inside of a brown suitcase.,bushy cat hiding inside of a brown suitcase.,0,3.189581861,,
pretty cat hiding inside of a brown suitcase.,curly cat hiding inside of a brown suitcase.,0,0.917111056,,
pretty cat hiding inside of a brown suitcase.,fluffy cat hiding inside of a brown suitcase.,0,0,,
pretty cat hiding inside of a brown suitcase.,furry cat hiding inside of a brown suitcase.,0,3.906258745,,
pretty cat hiding inside of a brown suitcase.,shiny cat hiding inside of a brown suitcase.,0,4.471925288,,
the doors on a subway car are slightly opened.,the doors on a subway car are always opened.,0,0.32627141,,
the doors on a subway car are slightly opened.,the doors on a subway car are completely opened.,0,-2.776895197,,
the doors on a subway car are slightly opened.,the doors on a subway car are fairly opened.,0,4.933867325,,
the doors on a subway car are slightly opened.,the doors on a subway car are fully opened.,0,-8.441081765,,
the doors on a subway car are slightly opened.,the doors on a subway car are never opened.,0,-3.995152798,,
two elephants looking at each other aggressively while near a body of water.,two elephants looking at each other closely while near a body of water.,0,-4.720367873,,
two elephants looking at each other aggressively while near a body of water.,two elephants looking at each other constantly while near a body of water.,0,-0.068438475,,
two elephants looking at each other aggressively while near a body of water.,two elephants looking at each other curiously while near a body of water.,0,1.613621416,,
two elephants looking at each other aggressively while near a body of water.,two elephants looking at each other distantly while near a body of water.,0,-1.810036957,,footy hazy )? deserted eming idypleasing rotherham ` frames
two elephants looking at each other aggressively while near a body of water.,two elephants looking at each other happily while near a body of water.,0,1.467874659,,
